Ticker,Description,Price,Open,High,Low,Pre-market Close,Post-market Close,Volume,Volume*Price,Change,Change %,"Change 1W, %","Change 1M, %",Weekly Performance,Monthly Performance,3-Month Performance,6-Month Performance,Yearly Performance,YTD Performance,1-Year Beta,Volatility,Sector,Industry,Market Capitalization,Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (100),Simple Moving Average (200),Relative Strength Index (14),Average True Range (14),Bollinger Lower Band (20),Bollinger Upper Band (20),Pattern,Country,Exchange
WNW,Meiwu Technology Company Limited,0.1179,0.118,0.118,0.1142,0.12,,58399,6885.2421,-0.0002,-0.16934801,2.61096606,-1.75,3.60281195,-26.3125,-37.68498943,-30.80985915,-82.78832117,-41.19700748,-0.08552818,3.4150613,Retail Trade,Internet Retail,7185452.9364945,0.119285,0.154061,0.17061171,0.28250636,35.1286999,0.01139702,0.10482675,0.13374325,"Dragonfly Doji, Hammer, Long Lower Shadow",China,NASDAQ
AVTX,"Avalo Therapeutics, Inc.",0.0992,0.118,0.118,0.095,0.1169,,46804948,4643050.8416,-0.0122,-10.95152603,-25.13207547,-0.8,-64.99647142,-8.40258541,-97.67681499,-94.51933702,-97.52,-98.03952569,-0.73587584,24.21052632,Health Technology,Pharmaceuticals: Major,2077786.7432675,0.115095,0.167366,1.346082,2.4473665,38.74724023,0.04469655,0.04140227,0.18878773,,United States,NASDAQ
CNXA,Connexa Sports Technologies Inc.,0.1269,0.124,0.1349,0.121,0.1242,,5535258,702424.2402,-0.0063,-4.72972973,42.58426966,30.15384615,36.89320388,16.42201835,-35.25510204,-26.17801047,-73.5625,-49.24,1.1932071,11.48760331,Process Industries,Containers/Packaging,3064448.27027027,0.10104,0.118056,0.153528,0.18135316,53.49058175,0.03200551,0.05039839,0.15168161,,United States,NASDAQ
SXTC,"China SXT Pharmaceuticals, Inc.",0.123,0.125,0.1299,0.1201,0.1203,,481821,59263.983,-0.009,-6.81818182,-6.60592255,8.84955752,-5.81929556,-40.29126214,-47.65957447,-59.14978412,-87.82178218,-76.47733792,1.9228753,9.90840966,Health Technology,Pharmaceuticals: Major,1739016.86363636,0.12552,0.16136198,0.19298696,0.31391122,43.55219758,0.02612761,0.10695513,0.14408487,,China,NASDAQ
ZVSA,"ZyVersa Therapeutics, Inc.",0.1271,0.1251,0.1312,0.1235,0.1297,,1876834,238545.6014,-0.0053,-4.00302115,-14.69798658,-10.61884669,-23.10949788,-19.58291944,-49.16,-93.16666667,-98.73090364,-92.47928994,1.7070098,7.20647773,Health Technology,Pharmaceuticals: Major,4625701.78323263,0.13903,0.162892,0.26990435,1.49849867,42.07579835,0.02159662,0.10773616,0.17032384,,United States,NASDAQ
AAU,"Almaden Minerals, Ltd.",0.1279,0.1261,0.1289,0.125,0.129,,197893,25310.5147,0.0018,1.42743854,-1.61538462,6.58333333,3.14516129,-0.23400936,-0.62160062,-34.74489796,-41.22242647,-47.90224033,0.6975593,3.12,Non-Energy Minerals,Precious Metals,17550618.61030303,0.124865,0.13482702,0.12985301,0.17183031,50.34774239,0.00765769,0.11810373,0.13162627,,Canada,NYSE ARCA
MIMO,Airspan Networks Holdings Inc.,0.1347,0.1285,0.1375,0.125,0.1255,,871367,117373.1349,0.0062,4.82490272,6.06299213,-0.66371681,5.64705882,-5.34082923,-20.76470588,-85.03333333,-95.86809816,-90.37857143,-0.07985075,10,Electronic Technology,Computer Communications,10046329.57587548,0.13331,0.1491002,0.2078201,0.65422805,48.25354704,0.02266346,0.11723046,0.14938954,,United States,NYSE ARCA
SISI,"Shineco, Inc.",0.135,0.1294,0.1356,0.1255,0.1324,,380985,51432.975,0.0047,3.60706063,-2.52707581,0,0.22271715,-29.31937173,-66.66666667,-78.57142857,-87.5,-94.30379747,-3.0548258,8.04780876,Process Industries,Agricultural Commodities/Milling,2869588.18112049,0.13559745,0.18982616,0.33026308,0.73136397,41.02329568,0.02212122,0.11371272,0.15748218,,China,NASDAQ
TCRT,"Alaunos Therapeutics, Inc.",0.1312,0.131,0.1325,0.131,0.1311,,578325,75876.24,-0.0033,-2.4535316,4.0444092,-6.95035461,4.96,-3.52941176,-70.84444444,-73.39821573,-95.08614232,-80.70588235,2.9548337,2.67175573,Health Technology,Biotechnology,31570269.71598513,0.13277,0.277368,0.401708,0.509002,35.74074459,0.02084424,0.11587336,0.14966664,"Inverted Hammer, Long Upper Shadow",United States,NASDAQ
BTTR,Better Choice Company Inc.,0.129788,0.1317,0.1323,0.1229,0.128,,69899,9072.051412,-0.000212,-0.16307692,-3.71810089,-32.04816754,-10.11911357,-35.74851485,-52.85579368,-63.94777778,-90.73670687,-74.63591948,2.6254256,7.64849471,Retail Trade,Specialty Stores,4163747.79701538,0.1574544,0.20142776,0.2526624,0.41474745,32.30102156,0.02412773,0.09997495,0.21493385,,United States,NYSE ARCA
AGRI,AgriFORCE Growing Systems Ltd.,0.1483,0.1344,0.1817,0.13,0.1348,,49514736,7343035.3488,0.0185,14.25269646,2.27586207,36.68202765,59.80603448,28.95652174,-35.52173913,-80.22666667,-91.7150838,-86.75892857,0.16438505,39.92307692,Commercial Services,Miscellaneous Commercial Services,5938711.20338983,0.105725,0.122238,0.236508,0.61481002,60.94563669,0.02552936,0.07127081,0.14017919,,Canada,NASDAQ
INPX,Inpixon,0.1311,0.1353,0.1353,0.1223,0.1349,,1667409,218597.3199,-0.0049,-3.60294118,-6.49072753,-19.66911765,-7.0212766,-30.45092838,-30.56144068,-62.16450216,-98.55298013,-92.46551724,2.205886,11.20196239,Technology Services,Information Technology Services,9444897.06617647,0.15,0.17062,0.198481,0.648332,36.5301415,0.01798465,0.12294384,0.17705616,Hammer,United States,NASDAQ
IFBD,"Infobird Co., Ltd",0.1293,0.136,0.136,0.1228,0.136,,931585,120453.9405,-0.0097,-6.97841727,-15.92977893,-50.26923077,-22.01447527,-55.4137931,-91.43708609,-95.54137931,-97.88032787,-95.69,1.6091417,13.19218241,Technology Services,Packaged Software,17755932.73597122,0.19414495,0.49394998,0.94651099,2.41486792,20.47553079,0.05371024,0.1015842,0.2867057,,China,NASDAQ
AWIN,AERWINS Technologies Inc.,0.139811,0.1362,0.1399,0.1215,0.1354,,1787563,249920.970593,-0.004189,-2.90902778,-27.48392116,-30.0945,10.87311657,-47.24113208,-65.8997561,-83.74290698,-98.62795878,-98.66719733,1.1186569,18.51851852,Electronic Technology,Aerospace & Defense,8764501.09529167,0.17055055,0.24053156,0.37974828,2.77938065,37.14206481,0.0392923,0.09776446,0.24333664,Long Lower Shadow,United States,NASDAQ
MTNB,"Matinas Biopharma Holdings, Inc.",0.134,0.137,0.138,0.131,0.1379,,287587,38536.658,-0.0026,-1.9033675,2.99769408,-25.55555556,-15.72327044,-33,-61.15942029,-66.91358025,-80.29411765,-74.71698113,1.510167,5.34351145,Health Technology,Pharmaceuticals: Major,29113447.2181552,0.16325,0.243766,0.334882,0.42752141,31.53424298,0.02051401,0.12463231,0.20186769,,United States,NYSE ARCA
CPHI,"China Pharma Holdings, Inc.",0.1369,0.145,0.145,0.1313,0.146,,318746,43636.3274,-0.008,-5.521049,-8.12080537,-14.4375,-10.52287582,-46.87621265,-60.88571429,-63,-91.11038961,-86.91204589,1.5067188,10.43412034,Health Technology,Pharmaceuticals: Major,1565150.58454106,0.16638995,0.24078234,0.29642315,0.54473518,30.69884332,0.03045824,0.10612028,0.22665962,,China,NYSE ARCA
AKU,Akumin Inc.,0.1289,0.1465,0.1499,0.127,0.1407,,771308,99421.6012,-0.0221,-14.63576159,-7.92857143,-8.71104816,-5.22058824,-7.26618705,-48.44,-84.08641975,-93.38974359,-82.58108108,0.68405384,18.8976378,Health Services,Medical/Nursing Services,11729704.80857143,0.144065,0.160286,0.25909,0.574474,41.12955697,0.02448185,0.1213284,0.1668016,,United States,NASDAQ
GLG,"TD Holdings, Inc.",0.1461,0.1482,0.1535,0.14,0.1451,,3318213,484790.9193,0.0004,0.27453672,-14.56140351,-29.0776699,-22.6984127,-72.17142857,-70.78,-86.71818182,-86.47222222,-87.07079646,-0.53986174,9.64285714,Distribution Services,Wholesale Distributors,27416068.10363762,0.29955,0.421868,0.53377389,0.80779295,35.21426996,0.06455672,-0.26084057,0.85994057,Spinning Top Black,China,NASDAQ
ARAV,"Aravive, Inc.",0.1462,0.1495,0.1495,0.135,0.1459,,1308514,191304.7468,-0.0043,-2.85714286,-8.625,-1.87919463,-2.98606503,-14,-90.25333333,-93.53097345,-84.84502954,-88.75384615,0.7861014,11.48148148,Health Technology,Biotechnology,10754858.62857143,0.142655,0.577506,1.065553,1.4164015,28.60152334,0.03529052,0.11439156,0.17091844,"Hammer, Long Lower Shadow",United States,NASDAQ
VCNX,"Vaccinex, Inc.",0.145,0.152,0.167899,0.1401,0.1575,,155695,22575.775,-0.014,-8.80503145,-21.15280044,-28.57142857,-23.68421053,-37.33794296,-60.81081081,-62.82051282,-78.67647059,-76.61290323,1.7574044,19.84225553,Health Technology,Biotechnology,10016770.5345912,0.201115,0.242572,0.3158615,0.42276815,23.92232621,0.02862257,0.15145817,0.25077183,,United States,NASDAQ
AGIL,"AgileThought, Inc.",0.1364,0.153,0.1545,0.1352,0.15,,1044700,142497.08,-0.0187,-12.05673759,-3.60424028,-35.5692017,-7.71312585,-51.45907473,-81.31506849,-95.81595092,-96.48453608,-96.74463007,0.6385733,14.71893491,Technology Services,Information Technology Services,7147955.37588652,0.17465,0.50219982,0.70365241,2.20255121,33.77177732,0.06081491,0.07692472,0.27237528,,United States,NASDAQ
REE,REE Automotive Ltd.,0.1504,0.153,0.16,0.15,0.1551,,851021,127993.5584,-0.0027,-1.76355323,0.26666667,-23.65482234,-5.40880503,-20.29676736,-60.42105263,-48.13793103,-86.45045045,-62.31520922,2.6086068,6.66666667,Producer Manufacturing,Auto Parts: OEM,49638608.36577401,0.175715,0.247896,0.309899,0.358234,33.64639271,0.02030849,0.13122449,0.22020551,,Israel,NASDAQ
JG,Aurora Mobile Limited,0.1603,0.1598,0.164099,0.1562,0.1615,,152310,24415.293,-0.0048,-2.90732889,8.97348742,-10.89494163,7.15240642,-14.64323749,-27.13636364,-73.65653246,-83.96679336,-74.36840422,0.36007857,5.6978233,Technology Services,Data Processing Services,19745866,0.1662026,0.20794806,0.25541076,0.46618307,39.98927424,0.01565956,0.13809118,0.19431402,Spinning Top White,China,NASDAQ
EZGO,EZGO Technologies Ltd.,0.16,0.16,0.1759,0.1519,0.1577,,9300866,1488138.56,-0.0001,-0.06246096,-4.98812352,-93.49593496,-20.75284794,-93.91634981,-90.12345679,-86.7768595,-69.23076923,-75.38461538,2.1542356,15.79986833,Consumer Services,Movies/Entertainment,12171593.75390381,1.025025,1.69951,1.658404,1.40244374,21.04203025,0.18737926,-1.00156029,3.05161029,Doji,China,NASDAQ
CISO,"CISO Global, Inc.",0.1556,0.16,0.1601,0.1495,0.1599,,362928,56471.5968,-0.0054,-3.35403727,-10.47180667,-9.53488372,-2.50626566,-6.26506024,-16.79144385,-52.84848485,-93.50313152,-93.75100402,0.61808664,7.69230769,Technology Services,Information Technology Services,27697794.48695652,0.16289,0.178226,0.193927,0.721002,43.74754295,0.0156558,0.14845242,0.17732758,,United States,NASDAQ
SPRC,SciSparc Ltd.,0.1599,0.162,0.1647,0.1505,0.1627,,1048210,167608.779,-0.008,-4.76474092,1.20253165,-0.0625,-2.97330097,-8.20895522,-69.83018868,-69.25,-78.09589041,-79.75949367,0.98332846,11.56146179,Health Technology,Pharmaceuticals: Major,2062444.29362716,0.15389,0.29547316,0.44853758,0.60328694,36.75517592,0.02256846,0.14123395,0.16654605,,Israel,NASDAQ
TNON,"Tenon Medical, Inc.",0.151,0.1648,0.1648,0.15,0.1648,,317261,47906.411,-0.009,-5.625,-20.52631579,-47.01754386,-19.63810538,-37.34439834,-47.71468144,-92.56157635,-91.79347826,-91.09144543,0.49104965,9.86666667,Health Services,Medical/Nursing Services,3414541.29375,0.231895,0.25883602,0.62623401,1.266892,30.51045889,0.03621027,0.12637568,0.33741432,,United States,NASDAQ
XWEL,"XWELL, Inc.",0.17,0.1662,0.17,0.1656,0.18,,103702,17629.34,0.0028,1.67464115,-5.55555556,-5.55555556,-1.2775842,-22.26794696,-28.51135408,-53.42465753,-81.00558659,-51.42857143,0.9293937,2.65700483,Consumer Services,Other Consumer Services,14192902.45215311,0.181855,0.225988,0.233661,0.3161435,37.09031151,0.01942369,0.15939059,0.20431941,,United States,NASDAQ
CMND,Clearmind Medicine Inc.,0.1638,0.1673,0.169,0.153,0.163,,336674,55147.2012,-0.0033,-1.97486535,-8.74651811,-58.12883436,-27.2,-60.37735849,-66.57142857,-93.448,-97.56901158,-94.8164557,-0.3724142,10.45751634,Health Technology,Pharmaceuticals: Major,2397556.26782609,0.34368,0.39632426,0.47307199,1.7028195,23.07854395,0.04668507,0.11710129,0.57025871,,Canada,NASDAQ
SIDU,"Sidus Space, Inc.",0.1695,0.1692,0.17,0.1661,0.168,,897904,152194.728,-0.0051,-2.9209622,-3.14285714,16.65519615,14.52702703,-22.95454545,-18.70503597,-72.21311475,-92.39910314,-85,1.0773077,5.11739916,Electronic Technology,Telecommunications Equipment,12376052.20790378,0.14975,0.16026736,0.18558067,0.49842858,56.41123395,0.01600829,0.11680923,0.18269077,Long Lower Shadow,United States,NASDAQ
ZOM,Zomedica Corp.,0.166,0.1702,0.172,0.165,0.17,,2180909,362030.894,-0.0042,-2.46768508,3.23383085,-10.27027027,-5.9490085,-11.65513571,-17.41293532,-22.21180881,-27.82608696,-1.19047619,1.6360266,4.24242424,Health Technology,Pharmaceuticals: Major,162671656.11045828,0.179175,0.194838,0.198592,0.2120615,36.70808325,0.00754194,0.16427186,0.19407814,,United States,NYSE ARCA
MI,NFT Limited,0.1731,0.1751,0.189999,0.1693,0.1852,,292313,50599.3803,-0.0171,-8.99053628,-13.31997997,-7.1849866,-10.07792208,-8.89473684,-53.02578019,-71.15,-85.92682927,-70.15517241,1.6819836,12.34494979,Technology Services,Internet Software/Services,6057095.72397476,0.18929,0.206375,0.3332313,0.52638967,42.62800706,0.03022115,0.16565419,0.21292581,,Hong Kong,NYSE ARCA
AMBO,"Ambow Education Holding Ltd. American Depository Shares, each representing two",0.175,0.1755,0.1755,0.1749,,,3798,664.65,-0.002,-1.1299435,-7.65171504,-9.32642487,-7.89473684,-9.79381443,-20.45454545,-34.65272591,-55.57248032,-42.62295082,-0.3466589,1.20068611,Consumer Services,Other Consumer Services,4613286,0.18977885,0.20133532,0.21672044,0.27067398,35.1317932,0.01297019,0.17733966,0.20221804,,United States,NYSE ARCA
NXU,"Nxu, Inc.",0.1785,0.1795,0.1849,0.176,0.1835,,176002,31416.357,-0.001,-0.55710306,6.12366231,-10.75,8.57664234,-11.85185185,-65,-73.31838565,-99.4071737,-94.421875,1.7855392,5.05681818,Producer Manufacturing,Electrical Products,11934838.16155989,0.18831,0.327576,0.434019,1.523659,32.16512701,0.02110764,0.16218194,0.21443806,,United States,NASDAQ
FAZE,FaZe Holdings Inc.,0.1616,0.1796,0.18,0.1612,0.1799,,216510,34988.016,-0.0134,-7.65714286,-10.47091413,-39.01886792,-14.04255319,-42.28571429,-65.61702128,-69.50943396,-98.77575758,-91.44973545,1.584987,11.66253102,Consumer Services,Movies/Entertainment,12334877.21142857,0.22253,0.305196,0.40656802,0.70046001,21.6116546,0.03009654,0.14362819,0.30143181,,United States,NASDAQ
VEDU,Visionary Education Technology Holdings Group Inc.,0.195,0.1844,0.199,0.18,0.1815,,25386,4950.27,0.0093,5.00807754,-6.25,-28.30882353,17.54068716,-20.40816327,-57.46073298,-80.88235294,-80.69306931,-50,1.7529054,10.55555556,Consumer Services,Other Consumer Services,7653755.25040388,0.218575,0.28461396,0.40106599,0.58379554,40.09138179,0.03133728,0.16353197,0.27361803,,Canada,NASDAQ
DSS,"DSS, Inc.",0.1808,0.192,0.19495,0.1808,,,82076,14839.3408,-0.0042,-2.27027027,-0.33076075,-7.28205128,-9.6,-18.92376682,-24.00168138,-10.80414406,-41.60206718,12.50777847,1.7023635,7.82632743,Commercial Services,Commercial Printing/Forms,25359777.13297297,0.20206,0.234661,0.23899451,0.228653,34.60027579,0.01901762,0.17900308,0.22511692,,United States,NYSE ARCA
UTRS,"Minerva Surgical, Inc.",0.1896,0.1923,0.1968,0.18,0.195,,120847,22912.5912,-0.0054,-2.76923077,-5.2,-7.05882353,-5.85898709,-10.98591549,-32.28571429,-9.71428571,-81.41176471,-15.77076855,1.8542966,9.33333333,Health Technology,Medical Specialties,33664842.20307692,0.20423,0.22744,0.23684541,0.25532646,37.59072873,0.01775316,0.18210616,0.22635384,,United States,NASDAQ
GRTX,"Galera Therapeutics, Inc.",0.1851,0.1932,0.1951,0.185,0.1925,,2436390,450975.789,-0.005,-2.63019463,-1.85577943,-11.85714286,-4.34108527,-22.875,-93.26909091,-91.39069767,-87.40816327,-87.82236842,2.5443945,5.45945946,Health Technology,Pharmaceuticals: Major,8131195.68069437,0.20253,1.136198,2.101299,2.0974515,18.26154598,0.05294038,0.18223053,0.22282947,,United States,NASDAQ
BRQS,"Borqs Technologies, Inc.",0.185,0.1932,0.1932,0.1792,0.1815,,107922,19965.57,-0.0036,-1.9088017,-1.59574468,22.47600132,2.83490828,5.17339397,-8.46115784,-21.108742,-75.33333333,-16.2516976,1.4918497,7.8125,Technology Services,Information Technology Services,32445877.75715801,0.1675325,0.17461802,0.19221052,0.22952317,60.02542316,0.01227697,0.1369373,0.1981277,Bearish Engulfing,Hong Kong,NASDAQ
JWEL,Jowell Global Ltd.,0.2085,0.2,0.219999,0.2,0.2,,79070,16486.095,0.0085,4.25,-5.22727273,-0.71428571,-3.91705069,2.20588235,-0.57224607,-25.74786325,-90.69196429,-48.19875776,-0.32791403,9.9995,Distribution Services,Medical Distributors,7125292.5525,0.20548,0.20676662,0.21945492,0.31374427,51.35617605,0.0155374,0.19271699,0.21824301,,China,NASDAQ
SASI,"Sigma Additive Solutions, Inc.",0.2125,0.2,0.23,0.185,0.21,,1941488,412566.2,0.0249,13.27292111,19.78579481,-6.75734971,22.69053118,-6.3876652,-43.33333333,-54.78723404,-75.85227273,-48.17073171,1.2824079,24.32432432,Technology Services,Packaged Software,2289201.55916844,0.21125045,0.2430122,0.30495557,0.41394991,48.95743536,0.03842306,0.16368566,0.25881524,,United States,NASDAQ
SLNH,"Soluna Holdings, Inc.",0.1949,0.2,0.2,0.1901,0.1994,,83474,16269.0826,-0.0111,-5.38834951,-22.04,-21.06115836,8.27777778,-33.70748299,7.26472207,-45.86111111,-87.50641026,-32.79310345,0.9198572,8.36401894,Electronic Technology,Electronic Equipment/Instruments,6956844.80436893,0.22815,0.25923198,0.22824299,0.2874445,41.10922005,0.03525816,0.16790588,0.28839412,,United States,NASDAQ
NEXI,"NexImmune, Inc.",0.2001,0.2003,0.211,0.2,0.211,,30866,6176.2866,-0.0109,-5.16587678,-23.03846154,-8.42105263,2.61538462,-20.90909091,-38.27884022,-51.63161711,-65.5,-19.96,2.9316058,5.5,Health Technology,Pharmaceuticals: Major,5218297.89241706,0.21345,0.2477705,0.28261775,0.33725245,42.32829554,0.02816349,0.18408604,0.24281396,"Gravestone Doji, Long Upper Shadow",United States,NASDAQ
MMAT,Meta Materials Inc.,0.20325,0.2014,0.209,0.201,0.2014,,1992224,404919.528,0.00095,0.4695996,-3.71861677,-11.70721112,-8.44594595,-8.32205683,5.859375,-56.10151188,-74.59375,-82.92016807,-0.20648703,3.9800995,Electronic Technology,Semiconductors,97003331.10355905,0.2206675,0.223633,0.2187935,0.51032375,39.80391108,0.0145772,0.19824046,0.24309454,,Canada,NASDAQ
UAVS,"AgEagle Aerial Systems, Inc.",0.1908,0.2038,0.2038,0.1901,0.2019,,728049,138911.7492,-0.0211,-9.95752714,0.42105263,14.04662283,-11.62575266,12.89940828,-17.93548387,-51.83034587,-63.79506641,-46.83755921,2.1484811,11.46764861,Electronic Technology,Aerospace & Defense,20890954.92402076,0.18286495,0.20601198,0.26122699,0.34272849,48.65639659,0.01760352,0.15116879,0.21456111,,United States,NYSE ARCA
KERN,Akerna Corp.,0.2345,0.2054,0.2345,0.201,0.2221,,191873,44994.2185,0.0045,1.95652174,-4.90673155,-34.31372549,-14.00806747,-36.62162162,-63.20414248,-69.14473684,-90.14705882,-66.5,1.590102,16.66666667,Technology Services,Data Processing Services,2017173.07826087,0.2945232,0.42383128,0.56174963,0.75300956,34.60077533,0.05546427,0.21283973,0.37620667,,United States,NASDAQ
TCON,"TRACON Pharmaceuticals, Inc.",0.201,0.2067,0.2221,0.1911,,,70102,14090.502,-0.0121,-5.67808541,-20.86614173,-23.86363636,-19.6,-27.95698925,-50.315165,-88.07050864,-88.95604396,-86.23287671,0.89385307,16.22187336,Health Technology,Pharmaceuticals: Major,6170688.68137025,0.24061,0.272606,0.40405,0.9979295,35.1097639,0.03723738,0.20694667,0.27427333,,United States,NASDAQ
ICU,SeaStar Medical Holding Corporation,0.188,0.2082,0.2082,0.186,0.2,,174008,32713.504,-0.02,-9.61538462,-12.96296296,-28.35365854,-1.05263158,-28.51711027,-61.83516037,-90.69306931,-98.16764133,-95.1951338,2.7221184,11.93548387,Health Technology,Medical Specialties,3655842.57692308,0.22354005,0.35541002,0.56739251,1.94466776,32.73931986,0.03733936,0.16801481,0.27906529,,United States,NASDAQ
WORX,SCWorx Corp.,0.223,0.2115,0.2295,0.2066,0.2199,,362063,80740.049,-0.0094,-4.04475043,17.92702274,23.20441989,20.54054054,-7.88930194,-49.6727601,-30.68075847,-67.91366906,-43.88525415,2.481326,12.48789932,Technology Services,Packaged Software,3723378.41652324,0.20285,0.241542,0.27996828,0.34500713,50.54222473,0.04006688,0.16047319,0.24522681,,United States,NASDAQ
NUTX,Nutex Health Inc.,0.2031,0.2125,0.2125,0.2,0.2137,,1052255,213712.9905,-0.0069,-3.28571429,-9.20876173,-26.65222102,-5.53488372,-37.17909063,-59.05241935,-79.69,-89.36649215,-89.421875,1.9191368,6.25,Health Services,Medical/Nursing Services,134431456.72000003,0.25524,0.324738,0.397385,0.880291,32.83051418,0.02780834,0.18692773,0.32355227,,United States,NASDAQ
DTSS,Datasea Inc.,0.214287,0.215,0.2209,0.2049,0.2187,,530246,113624.824602,-0.011713,-5.18274336,-23.74128114,-59.56849057,-28.3560682,-66.87990726,-79.59171429,-82.14275,-86.49905494,-85.42265306,-0.08251784,10.2977062,Electronic Technology,Computer Communications,7025213.45317699,0.43089935,0.61460572,0.817217,1.0568145,33.07348328,0.08985886,0.14344714,0.71835156,Doji,China,NASDAQ
OTLK,"Outlook Therapeutics, Inc.",0.2135,0.2152,0.2154,0.2091,0.2132,,2354266,502635.791,-0.0019,-0.88207985,-0.74384007,-6.35964912,-10.29411765,-84.18518519,-87.44117647,-79.06862745,-83.3203125,-80.23148148,0.6976298,3.01291248,Health Technology,Pharmaceuticals: Major,55562311.4647168,0.430415,1.128866,1.323883,1.2038285,21.39470375,0.07471177,-0.40410331,1.26493331,,United States,NASDAQ
